[10:09:29] [udemy-downloader] [pre_run:406] INFO: Output directory set to F:\Cursor\Advance-Udemy-Downloader\out_dir
[10:09:29] [udemy-downloader] [pre_run:421] INFO: Chapter filter applied: [4]
[10:09:30] [udemy-downloader] [__init__:463] INFO: Found cookie.txt, attempting to use for authentication...
[10:09:30] [udemy-downloader] [main:2161] INFO: > Fetching course information, this may take a minute...
[10:09:36] [udemy-downloader] [main:2164] INFO: > Course information retrieved!
[10:09:36] [udemy-downloader] [main:2169] INFO: > Fetching course curriculum, this may take a minute...
[10:10:05] [udemy-downloader] [_extract_course_curriculum:947] INFO: > Downloading course curriculum.. (Page 2/3)
[10:10:09] [udemy-downloader] [main:2185] INFO: > Course curriculum retrieved!
[10:10:09] [udemy-downloader] [main:2212] INFO: > Processing course data, this may take a minute. 
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 209 of 216
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 210 of 216
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 211 of 216
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 212 of 216
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 213 of 216
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 214 of 216
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 215 of 216
[10:10:10] [udemy-downloader] [main:2256] INFO: Processing 216 of 216
[10:10:10] [udemy-downloader] [parse_new:1858] INFO: Chapter(s) (8)
[10:10:10] [udemy-downloader] [parse_new:1859] INFO: Lecture(s) (208)
[10:10:10] [udemy-downloader] [parse_new:1870] INFO: Skipping chapter 1 as it is not in the specified filter
[10:10:10] [udemy-downloader] [parse_new:1870] INFO: Skipping chapter 2 as it is not in the specified filter
[10:10:10] [udemy-downloader] [parse_new:1870] INFO: Skipping chapter 3 as it is not in the specified filter
[10:10:10] [udemy-downloader] [parse_new:1878] INFO: ======= Processing chapter 4 of 8 =======
[10:10:29] [udemy-downloader] [parse_new:1906] INFO:   > Processing lecture 1 of 208
[10:10:29] [udemy-downloader] [parse_new:1910] INFO:       > Lecture '001 Day 1 - Choosing the Right LLM Model Selection Strategy and Basics' is already downloaded, skipping...
[10:10:29] [udemy-downloader] [parse_new:1929] INFO: Processing 25 caption(s)...
[10:10:29] [udemy-downloader] [process_caption:1534] INFO:     > Caption '001 Day 1 - Choosing the Right LLM Model Selection Strategy and Basics_en.vtt' already downloaded.
[10:10:29] [udemy-downloader] [process_caption:1562] INFO:     > Dual-language subtitle already exists (001 Day 1 - Choosing the Right LLM Model Selection Strategy and Basics_en_zh.srt), skipping translation.
[10:10:29] [udemy-downloader] [parse_new:1937] INFO:     > Processing 0 asset(s) for lecture...
[10:10:38] [udemy-downloader] [parse_new:1906] INFO:   > Processing lecture 2 of 208
[10:10:38] [udemy-downloader] [process_lecture:1730] INFO:       > Lecture doesn't have DRM, attempting to download...
[10:10:38] [udemy-downloader] [process_lecture:1735] INFO:       ====== Selected quality: hls 1080
[10:10:46] [udemy-downloader] [parse_new:1929] INFO: Processing 25 caption(s)...
[10:10:46] [udemy-downloader] [process_caption:1534] INFO:     > Caption '002 Day 1 - The Chinchilla Scaling Law Parameters, Training Data and Why It Matters_en.vtt' already downloaded.
[10:10:46] [udemy-downloader] [process_caption:1562] INFO:     > Dual-language subtitle already exists (002 Day 1 - The Chinchilla Scaling Law Parameters, Training Data and Why It Matters_en_zh.srt), skipping translation.
[10:10:46] [udemy-downloader] [parse_new:1937] INFO:     > Processing 0 asset(s) for lecture...
[10:10:55] [udemy-downloader] [parse_new:1906] INFO:   > Processing lecture 3 of 208
[10:10:55] [udemy-downloader] [process_lecture:1730] INFO:       > Lecture doesn't have DRM, attempting to download...
[10:10:55] [udemy-downloader] [process_lecture:1735] INFO:       ====== Selected quality: hls 1080
[10:11:04] [udemy-downloader] [cleanup_temp_dir:2044] INFO: > Temp 目录已清理：F:\Cursor\Advance-Udemy-Downloader\temp
